sheet,invoice,amount_minor,lines,date,customer,country
Year 2009-2010,489581,12483,10,2009-12-01 13:47:00,15945,United Kingdom
Year 2009-2010,489582,29395,9,2009-12-01 13:47:00,14543,United Kingdom
Year 2009-2010,489584,2195,1,2009-12-01 13:48:00,18037,United Kingdom
Year 2009-2010,489585,10585,4,2009-12-01 13:49:00,15662,United Kingdom
Year 2009-2010,489586,26342,6,2009-12-01 13:50:00,15380,United Kingdom
Year 2009-2010,489590,36278,27,2009-12-01 14:14:00,13110,United Kingdom
Year 2009-2010,489593,42387,30,2009-12-01 14:19:00,12836,United Kingdom
Year 2009-2010,489594,32233,51,2009-12-01 14:19:00,15005,United Kingdom
Year 2009-2010,489596,1700,1,2009-12-01 14:27:00,,United Kingdom
Year 2009-2010,489597,509782,502,2009-12-01 14:28:00,,United Kingdom
Year 2009-2010,489598,82237,50,2009-12-01 14:35:00,16620,United Kingdom
Year 2009-2010,489599,245468,79,2009-12-01 14:40:00,12758,Portugal
Year 2009-2010,489600,42029,31,2009-12-01 14:43:00,,United Kingdom
Year 2009-2010,489601,33720,26,2009-12-01 14:44:00,,United Kingdom
Year 2009-2010,489602,44007,33,2009-12-01 14:45:00,,United Kingdom
Year 2009-2010,489603,31155,21,2009-12-01 14:46:00,,United Kingdom
Year 2009-2010,489604,38387,25,2009-12-01 14:47:00,,United Kingdom
Year 2009-2010,489606,210,1,2009-12-01 14:48:00,17961,United Kingdom
Year 2009-2010,489607,44698,39,2009-12-01 14:49:00,,United Kingdom
Year 2009-2010,489608,975,1,2009-12-01 14:49:00,,United Kingdom
Year 2009-2010,489609,55378,37,2009-12-01 14:50:00,,United Kingdom
Year 2009-2010,489611,295,1,2009-12-01 14:53:00,15601,United Kingdom
Year 2009-2010,489612,62978,41,2009-12-01 14:55:00,,United Kingdom
Year 2009-2010,489613,1275,1,2009-12-01 14:56:00,13585,United Kingdom
Year 2009-2010,489614,40885,26,2009-12-01 14:56:00,,United Kingdom
Year 2009-2010,489615,49936,22,2009-12-01 14:56:00,,United Kingdom
Year 2009-2010,489616,40927,23,2009-12-01 14:58:00,,United Kingdom
Year 2009-2010,489617,19800,16,2009-12-01 14:59:00,13442,United Kingdom
Year 2009-2010,489618,635,1,2009-12-01 14:59:00,,United Kingdom
Year 2009-2010,489619,1950,5,2009-12-01 15:02:00,,United Kingdom
Year 2009-2010,489634,1740,1,2009-12-01 15:19:00,13381,United Kingdom
Year 2009-2010,489635,35285,21,2009-12-01 15:26:00,16763,United Kingdom
Year 2009-2010,489637,53590,20,2009-12-01 15:36:00,17243,United Kingdom
Year 2009-2010,489638,750,1,2009-12-01 15:42:00,,United Kingdom
Year 2009-2010,489639,3120,1,2009-12-01 16:05:00,14865,United Kingdom
Year 2009-2010,489640,32991,27,2009-12-01 16:17:00,17345,United Kingdom
Year 2009-2010,489641,62210,30,2009-12-01 16:18:00,13819,United Kingdom
Year 2009-2010,489642,1285,3,2009-12-01 16:19:00,,United Kingdom
Year 2009-2010,489644,89654,26,2009-12-01 16:30:00,15808,United Kingdom
Year 2009-2010,489645,26174,32,2009-12-01 16:34:00,17191,United Kingdom
Year 2009-2010,489650,17310,7,2009-12-01 16:44:00,13748,United Kingdom
Year 2009-2010,489652,29414,17,2009-12-01 17:08:00,15265,United Kingdom
Year 2009-2010,489653,6078,13,2009-12-01 17:08:00,,United Kingdom
Year 2009-2010,489654,22212,30,2009-12-01 17:19:00,15750,United Kingdom
Year 2009-2010,489655,0,1,2009-12-01 17:26:00,,United Kingdom
Year 2009-2010,489656,123730,22,2009-12-01 17:28:00,17428,United Kingdom
Year 2009-2010,489657,5520,3,2009-12-01 17:28:00,17428,United Kingdom
Year 2009-2010,489658,82809,21,2009-12-01 17:31:00,15485,United Kingdom
Year 2009-2010,489659,0,1,2009-12-01 17:39:00,,United Kingdom
Year 2009-2010,489660,0,1,2009-12-01 17:43:00,,United Kingdom
Year 2009-2010,489661,2348,4,2009-12-01 17:45:00,17246,United Kingdom
Year 2009-2010,489662,7375,1,2009-12-01 17:50:00,15485,United Kingdom
Year 2009-2010,489663,0,1,2009-12-01 18:02:00,,United Kingdom
Year 2009-2010,489664,37443,11,2009-12-01 18:03:00,14061,United Kingdom
Year 2009-2010,489665,25230,10,2009-12-01 18:07:00,14108,United Kingdom
Year 2009-2010,489666,26309,15,2009-12-01 18:13:00,13648,United Kingdom
Year 2009-2010,489667,53846,10,2009-12-01 18:35:00,16563,United Kingdom
Year 2009-2010,489668,37812,8,2009-12-01 19:19:00,16701,United Kingdom
Year 2009-2010,489669,39720,3,2009-12-02 08:15:00,12842,United Kingdom
Year 2009-2010,489670,11460,2,2009-12-02 08:16:00,14302,United Kingdom
Year 2009-2010,489671,74030,8,2009-12-02 08:58:00,14135,United Kingdom
Year 2009-2010,489672,77265,32,2009-12-02 09:21:00,14831,United Kingdom
Year 2009-2010,489673,6110,4,2009-12-02 09:23:00,14831,United Kingdom
Year 2009-2010,489674,26130,17,2009-12-02 09:35:00,15602,United Kingdom
Year 2009-2010,489675,493922,22,2009-12-02 09:47:00,13777,United Kingdom
Year 2009-2010,489676,121080,5,2009-12-02 09:49:00,13777,United Kingdom
Year 2009-2010,489677,19200,2,2009-12-02 09:50:00,14000,United Kingdom
Year 2009-2010,489678,18930,20,2009-12-02 09:57:00,16823,United Kingdom
Year 2009-2010,489679,79598,42,2009-12-02 10:00:00,16163,United Kingdom
Year 2009-2010,489680,4500,1,2009-12-02 10:02:00,17193,United Kingdom
Year 2009-2010,489681,8959,11,2009-12-02 10:02:00,17998,United Kingdom
Year 2009-2010,489682,12573,4,2009-12-02 10:08:00,15759,United Kingdom
Year 2009-2010,489683,131797,46,2009-12-02 10:09:00,16131,United Kingdom
Year 2009-2010,489684,26660,9,2009-12-02 10:15:00,14560,United Kingdom
Year 2009-2010,489687,22153,12,2009-12-02 10:41:00,17087,United Kingdom
Year 2009-2010,489688,29970,3,2009-12-02 10:42:00,14894,United Kingdom
Year 2009-2010,489695,30695,15,2009-12-02 10:48:00,16202,United Kingdom
Year 2009-2010,489699,40170,25,2009-12-02 10:51:00,16700,United Kingdom
Year 2009-2010,489702,310864,30,2009-12-02 10:52:00,17511,United Kingdom
Year 2009-2010,489705,1700,1,2009-12-02 10:52:00,16700,United Kingdom
Year 2009-2010,489723,205212,26,2009-12-02 10:58:00,14299,United Kingdom
Year 2009-2010,489725,21600,1,2009-12-02 11:07:00,17949,United Kingdom
Year 2009-2010,489726,75000,1,2009-12-02 11:07:00,17949,United Kingdom
Year 2009-2010,489727,90000,1,2009-12-02 11:09:00,17949,United Kingdom
Year 2009-2010,489728,18045,10,2009-12-02 11:18:00,14799,United Kingdom
Year 2009-2010,489733,16800,2,2009-12-02 11:20:00,15311,United Kingdom
Year 2009-2010,489743,53877,33,2009-12-02 11:24:00,16550,United Kingdom
Year 2009-2010,489748,75420,3,2009-12-02 11:26:00,12980,United Kingdom
Year 2009-2010,489764,22310,14,2009-12-02 11:31:00,14425,United Kingdom
Year 2009-2010,489765,28559,41,2009-12-02 11:33:00,15353,United Kingdom
Year 2009-2010,489766,13018,46,2009-12-02 11:34:00,17818,United Kingdom
Year 2009-2010,489780,15998,8,2009-12-02 11:43:00,13654,United Kingdom
Year 2009-2010,489781,0,1,2009-12-02 11:45:00,,United Kingdom
Year 2009-2010,489782,23046,22,2009-12-02 11:45:00,17189,United Kingdom
Year 2009-2010,489783,16204,7,2009-12-02 11:47:00,13269,United Kingdom
Year 2009-2010,489784,4080,4,2009-12-02 11:48:00,13269,United Kingdom
Year 2009-2010,489785,33367,20,2009-12-02 11:51:00,14653,United Kingdom
Year 2009-2010,489786,21686,44,2009-12-02 11:52:00,17019,United Kingdom
Year 2009-2010,489787,31954,74,2009-12-02 11:53:00,15542,United Kingdom
Year 2009-2010,489788,11916,17,2009-12-02 11:55:00,13564,United Kingdom
Year 2009-2010,489789,8040,5,2009-12-02 11:59:00,15833,United Kingdom
Year 2009-2010,489790,13112,2,2009-12-02 11:59:00,16467,United Kingdom
Year 2009-2010,489791,22119,65,2009-12-02 12:06:00,15542,United Kingdom
Year 2009-2010,489792,92379,58,2009-12-02 12:06:00,14527,United Kingdom
Year 2009-2010,489793,26036,16,2009-12-02 12:09:00,17476,United Kingdom
Year 2009-2010,489794,5820,4,2009-12-02 12:13:00,15287,United Kingdom
Year 2009-2010,489795,93501,13,2009-12-02 12:13:00,14440,United Kingdom
Year 2009-2010,489796,31150,19,2009-12-02 12:15:00,15680,United Kingdom
Year 2009-2010,489797,20063,26,2009-12-02 12:19:00,15581,United Kingdom
Year 2009-2010,489798,31169,20,2009-12-02 12:22:00,13740,United Kingdom
Year 2009-2010,489800,40807,32,2009-12-02 12:26:00,17768,United Kingdom
Year 2009-2010,489801,12848,6,2009-12-02 12:28:00,12948,United Kingdom
Year 2009-2010,489802,17452,45,2009-12-02 12:32:00,15581,United Kingdom
Year 2009-2010,489804,25117,16,2009-12-02 12:38:00,14667,United Kingdom
Year 2009-2010,489805,45435,46,2009-12-02 12:39:00,17377,United Kingdom
Year 2009-2010,489806,0,1,2009-12-02 12:42:00,,United Kingdom
Year 2009-2010,489807,18013,28,2009-12-02 12:43:00,15581,United Kingdom
Year 2009-2010,489808,10984,17,2009-12-02 12:44:00,14467,United Kingdom
Year 2009-2010,489809,11250,6,2009-12-02 12:46:00,13457,United Kingdom
Year 2009-2010,489810,49325,26,2009-12-02 12:47:00,18108,United Kingdom
Year 2009-2010,489811,63429,9,2009-12-02 12:54:00,16210,United Kingdom
Year 2009-2010,489812,59769,25,2009-12-02 13:00:00,17377,United Kingdom
Year 2009-2010,489814,82418,89,2009-12-02 13:06:00,14669,United Kingdom
Year 2009-2010,489815,13255,9,2009-12-02 13:10:00,17909,United Kingdom
Year 2009-2010,489816,28455,27,2009-12-02 13:20:00,16086,United Kingdom
Year 2009-2010,489817,34020,3,2009-12-02 13:22:00,16711,United Kingdom
Year 2009-2010,489818,29430,14,2009-12-02 13:23:00,16233,United Kingdom
Year 2009-2010,489819,61843,13,2009-12-02 13:23:00,14739,United Kingdom
Year 2009-2010,489820,0,1,2009-12-02 13:23:00,,United Kingdom
Year 2009-2010,489821,0,1,2009-12-02 13:25:00,,United Kingdom
Year 2009-2010,489822,37127,54,2009-12-02 13:26:00,14204,United Kingdom
Year 2009-2010,489823,8730,6,2009-12-02 13:32:00,17606,United Kingdom
Year 2009-2010,489824,17688,44,2009-12-02 13:33:00,16797,United Kingdom
Year 2009-2010,489825,17410,11,2009-12-02 13:34:00,16126,United Kingdom
Year 2009-2010,489826,8595,10,2009-12-02 13:39:00,17867,United Kingdom
Year 2009-2010,489827,44570,23,2009-12-02 13:51:00,17412,United Kingdom
Year 2009-2010,489829,47247,8,2009-12-02 13:53:00,16525,United Kingdom
Year 2009-2010,489830,63704,69,2009-12-02 13:57:00,13623,United Kingdom
Year 2009-2010,489831,100800,1,2009-12-02 13:58:00,12435,Denmark
Year 2009-2010,489832,31622,55,2009-12-02 14:06:00,14549,United Kingdom
Year 2009-2010,489833,15068,24,2009-12-02 14:09:00,14980,United Kingdom
Year 2009-2010,489834,21480,1,2009-12-02 14:09:00,14106,United Kingdom
Year 2009-2010,489835,71400,2,2009-12-02 14:15:00,15061,United Kingdom
Year 2009-2010,489837,51497,47,2009-12-02 14:21:00,14396,United Kingdom
Year 2009-2010,489840,8970,1,2009-12-02 14:22:00,14122,United Kingdom
Year 2009-2010,489855,15791,29,2009-12-02 14:34:00,16987,United Kingdom
Year 2009-2010,489856,446374,426,2009-12-02 14:36:00,,United Kingdom
Year 2009-2010,489857,574196,516,2009-12-02 14:43:00,,United Kingdom
Year 2009-2010,489861,4607,7,2009-12-02 14:50:00,,United Kingdom
Year 2009-2010,489862,73470,4,2009-12-02 14:52:00,17809,United Kingdom
Year 2009-2010,489863,6682,18,2009-12-02 14:55:00,15917,United Kingdom
Year 2009-2010,489864,20685,3,2009-12-02 14:56:00,14987,United Kingdom
Year 2009-2010,489865,23487,18,2009-12-02 15:01:00,14080,United Kingdom
Year 2009-2010,489866,100383,120,2009-12-02 15:04:00,16200,United Kingdom
Year 2009-2010,489867,11895,12,2009-12-02 15:08:00,,United Kingdom
Year 2009-2010,489868,67500,14,2009-12-02 15:10:00,15794,United Kingdom
Year 2009-2010,489869,3998,17,2009-12-02 15:15:00,16200,United Kingdom
Year 2009-2010,489870,16210,3,2009-12-02 15:16:00,15523,United Kingdom
Year 2009-2010,489871,73570,5,2009-12-02 15:17:00,15523,United Kingdom
Year 2009-2010,489872,63290,22,2009-12-02 15:28:00,15615,United Kingdom
Year 2009-2010,489873,1020,1,2009-12-02 15:29:00,15615,United Kingdom
Year 2009-2010,489874,17660,12,2009-12-02 15:38:00,18001,United Kingdom
Year 2009-2010,489875,53076,95,2009-12-02 15:41:00,17841,United Kingdom
Year 2009-2010,489876,3985,18,2009-12-02 15:44:00,15917,United Kingdom
Year 2009-2010,489877,36810,4,2009-12-02 15:44:00,13089,United Kingdom
Year 2009-2010,489878,14311,38,2009-12-02 15:51:00,15989,United Kingdom
Year 2009-2010,489879,16347,44,2009-12-02 16:02:00,17660,United Kingdom
Year 2009-2010,489880,38028,22,2009-12-02 16:18:00,13313,United Kingdom
Year 2009-2010,489882,0,1,2009-12-02 16:22:00,,United Kingdom
Year 2009-2010,489883,57828,27,2009-12-02 16:24:00,12437,France
Year 2009-2010,489884,361,1,2009-12-02 16:24:00,13313,United Kingdom
Year 2009-2010,489888,59740,26,2009-12-02 16:49:00,14841,United Kingdom
Year 2009-2010,489889,473424,20,2009-12-02 16:52:00,14646,Netherlands
Year 2009-2010,489890,97680,3,2009-12-02 16:53:00,14646,Netherlands
Year 2009-2010,489891,18108,6,2009-12-02 16:59:00,15482,United Kingdom
Year 2009-2010,489892,3980,2,2009-12-02 17:02:00,,United Kingdom
Year 2009-2010,489893,30010,9,2009-12-02 17:06:00,16156,United Kingdom
Year 2009-2010,489894,52020,27,2009-12-02 17:18:00,17716,United Kingdom
Year 2009-2010,489895,37182,22,2009-12-03 07:25:00,12779,Poland
Year 2009-2010,489896,33793,20,2009-12-03 07:57:00,13611,United Kingdom
Year 2009-2010,489897,26044,13,2009-12-03 09:10:00,15255,United Kingdom
Year 2009-2010,489898,0,1,2009-12-03 09:40:00,,United Kingdom
Year 2009-2010,489899,0,1,2009-12-03 09:41:00,,United Kingdom
Year 2009-2010,489900,28737,19,2009-12-03 09:44:00,14771,United Kingdom
Year 2009-2010,489901,0,1,2009-12-03 09:47:00,,United Kingdom
Year 2009-2010,489902,11910,4,2009-12-03 09:52:00,14838,United Kingdom
Year 2009-2010,489903,0,1,2009-12-03 09:57:00,,United Kingdom
Year 2009-2010,489904,20378,13,2009-12-03 10:02:00,13979,United Kingdom
Year 2009-2010,489905,47870,19,2009-12-03 10:03:00,13800,United Kingdom
Year 2009-2010,489906,12000,4,2009-12-03 10:16:00,14483,United Kingdom
Year 2009-2010,489907,20206,11,2009-12-03 10:17:00,14915,United Kingdom
Year 2009-2010,489908,10733,6,2009-12-03 10:20:00,16301,United Kingdom
Year 2009-2010,489909,64220,16,2009-12-03 10:20:00,13753,United Kingdom
Year 2009-2010,489910,14400,1,2009-12-03 10:23:00,15482,United Kingdom
Year 2009-2010,489912,114610,58,2009-12-03 10:26:00,13931,United Kingdom
Year 2009-2010,489913,6960,3,2009-12-03 10:28:00,13931,United Kingdom
Year 2009-2010,489914,99300,29,2009-12-03 10:28:00,12921,United Kingdom
Year 2009-2010,489915,5460,2,2009-12-03 10:37:00,17035,United Kingdom
Year 2009-2010,489916,33600,9,2009-12-03 10:37:00,15194,United Kingdom
Year 2009-2010,489932,8260,6,2009-12-03 10:49:00,14347,United Kingdom
Year 2009-2010,489935,18165,2,2009-12-03 10:51:00,12934,United Kingdom
Year 2009-2010,489994,43090,4,2009-12-03 11:09:00,15291,United Kingdom
Year 2009-2010,489996,32040,5,2009-12-03 11:10:00,17209,United Kingdom
Year 2009-2010,489998,32165,18,2009-12-03 11:19:00,15658,United Kingdom
Year 2009-2010,489999,15420,7,2009-12-03 11:25:00,17314,United Kingdom
Year 2009-2010,490000,14306,12,2009-12-03 11:34:00,17155,United Kingdom
Year 2009-2010,490001,16950,2,2009-12-03 11:45:00,15965,United Kingdom
Year 2009-2010,490002,11455,28,2009-12-03 11:46:00,17322,United Kingdom
Year 2009-2010,490003,31755,12,2009-12-03 11:51:00,16159,United Kingdom
Year 2009-2010,490004,91256,9,2009-12-03 11:53:00,14051,United Kingdom
Year 2009-2010,490005,55675,25,2009-12-03 11:57:00,13993,United Kingdom
Year 2009-2010,490006,34440,19,2009-12-03 12:02:00,17411,United Kingdom
Year 2009-2010,490007,0,1,2009-12-03 12:09:00,,United Kingdom
Year 2009-2010,490008,50393,64,2009-12-03 12:10:00,15768,United Kingdom
Year 2009-2010,490009,28509,31,2009-12-03 12:13:00,12835,United Kingdom
Year 2009-2010,490010,100800,1,2009-12-03 12:15:00,15061,United Kingdom
Year 2009-2010,490011,22169,43,2009-12-03 12:27:00,16918,United Kingdom
Year 2009-2010,490012,76335,27,2009-12-03 12:27:00,15179,United Kingdom
Year 2009-2010,490013,50055,33,2009-12-03 12:27:00,17069,United Kingdom
Year 2009-2010,490014,74421,93,2009-12-03 12:28:00,15466,United Kingdom
Year 2009-2010,490015,0,1,2009-12-03 12:29:00,,United Kingdom
Year 2009-2010,490016,0,1,2009-12-03 12:30:00,,United Kingdom
Year 2009-2010,490017,39365,99,2009-12-03 12:31:00,14159,United Kingdom
Year 2009-2010,490018,438000,4,2009-12-03 12:31:00,17940,United Kingdom
Year 2009-2010,490019,30860,15,2009-12-03 12:34:00,17581,United Kingdom
Year 2009-2010,490020,3780,3,2009-12-03 12:36:00,17581,United Kingdom
Year 2009-2010,490021,1020,1,2009-12-03 12:36:00,17581,United Kingdom
Year 2009-2010,490022,4560,3,2009-12-03 12:37:00,17581,United Kingdom
Year 2009-2010,490023,18915,4,2009-12-03 12:38:00,16168,United Kingdom
Year 2009-2010,490024,21500,49,2009-12-03 12:40:00,14606,United Kingdom
Year 2009-2010,490030,5820,2,2009-12-03 12:44:00,,United Kingdom
Year 2009-2010,490034,6982,11,2009-12-03 12:45:00,17287,United Kingdom
Year 2009-2010,490045,18039,22,2009-12-03 12:50:00,17287,United Kingdom
Year 2009-2010,490046,22830,7,2009-12-03 13:02:00,13416,United Kingdom
Year 2009-2010,490047,26385,28,2009-12-03 13:02:00,17913,United Kingdom
Year 2009-2010,490048,114671,35,2009-12-03 13:03:00,16779,United Kingdom
Year 2009-2010,490049,10200,1,2009-12-03 13:04:00,15794,United Kingdom
Year 2009-2010,490050,1350,1,2009-12-03 13:05:00,17913,United Kingdom
Year 2009-2010,490052,83100,42,2009-12-03 13:09:00,13895,United Kingdom
Year 2009-2010,490053,11954,17,2009-12-03 13:17:00,14057,United Kingdom
Year 2009-2010,490054,27750,7,2009-12-03 13:22:00,17017,United Kingdom
Year 2009-2010,490055,0,1,2009-12-03 13:22:00,,United Kingdom
Year 2009-2010,490056,6112,16,2009-12-03 13:25:00,13208,United Kingdom
Year 2009-2010,490057,36052,20,2009-12-03 13:25:00,17465,United Kingdom
Year 2009-2010,490058,4785,2,2009-12-03 13:26:00,17465,United Kingdom
Year 2009-2010,490059,1447500,9,2009-12-03 13:30:00,18102,United Kingdom
Year 2009-2010,490060,31422,17,2009-12-03 13:32:00,13468,United Kingdom
Year 2009-2010,490061,400000,4,2009-12-03 13:42:00,18102,United Kingdom
Year 2009-2010,490062,16530,8,2009-12-03 13:46:00,13485,United Kingdom
Year 2009-2010,490063,21039,52,2009-12-03 13:49:00,17271,United Kingdom
Year 2009-2010,490064,35559,19,2009-12-03 13:51:00,16139,United Kingdom
Year 2009-2010,490065,126000,1,2009-12-03 13:58:00,15061,United Kingdom
Year 2009-2010,490066,37220,7,2009-12-03 14:00:00,15953,United Kingdom
Year 2009-2010,490067,95261,24,2009-12-03 14:02:00,15856,United Kingdom
Year 2009-2010,490068,28430,9,2009-12-03 14:06:00,13085,United Kingdom
Year 2009-2010,490069,16140,5,2009-12-03 14:07:00,13085,United Kingdom
Year 2009-2010,490070,23625,5,2009-12-03 14:07:00,14967,United Kingdom
Year 2009-2010,490071,29485,19,2009-12-03 14:11:00,16497,United Kingdom
Year 2009-2010,490072,19465,30,2009-12-03 14:28:00,17764,United Kingdom
Year 2009-2010,490073,25810,13,2009-12-03 14:36:00,14905,United Kingdom
Year 2009-2010,490074,650063,580,2009-12-03 14:39:00,,United Kingdom
Year 2009-2010,490075,38100,4,2009-12-03 14:42:00,18229,United Kingdom
Year 2009-2010,490077,11551,6,2009-12-03 15:09:00,17293,United Kingdom
Year 2009-2010,490078,58435,29,2009-12-03 15:09:00,17853,United Kingdom
Year 2009-2010,490079,16035,10,2009-12-03 15:15:00,15550,United Kingdom
Year 2009-2010,490080,31170,15,2009-12-03 15:20:00,13531,United Kingdom
Year 2009-2010,490081,72309,20,2009-12-03 15:32:00,13786,United Kingdom
Year 2009-2010,490082,33790,7,2009-12-03 15:34:00,14952,United Kingdom
Year 2009-2010,490083,250614,61,2009-12-03 15:35:00,14031,United Kingdom
Year 2009-2010,490084,0,1,2009-12-03 15:37:00,,United Kingdom
Year 2009-2010,490085,17006,15,2009-12-03 15:43:00,12937,United Kingdom
Year 2009-2010,490086,79920,1,2009-12-03 15:48:00,17949,United Kingdom
Year 2009-2010,490087,89818,51,2009-12-03 15:49:00,15601,United Kingdom
Year 2009-2010,490088,1700,2,2009-12-03 15:50:00,15581,United Kingdom
Year 2009-2010,490089,46620,1,2009-12-03 15:52:00,17949,United Kingdom
Year 2009-2010,490090,4555,17,2009-12-03 15:53:00,15581,United Kingdom
Year 2009-2010,490091,63600,1,2009-12-03 15:54:00,17949,United Kingdom
Year 2009-2010,490092,51087,23,2009-12-03 15:54:00,16612,United Kingdom
Year 2009-2010,490093,179470,64,2009-12-03 15:56:00,12949,United Kingdom
Year 2009-2010,490094,85176,1,2009-12-03 15:56:00,17949,United Kingdom
Year 2009-2010,490095,18636,12,2009-12-03 16:02:00,14958,United Kingdom
Year 2009-2010,490097,27942,36,2009-12-03 16:09:00,17329,United Kingdom
Year 2009-2010,490099,122598,74,2009-12-03 16:12:00,16736,United Kingdom
Year 2009-2010,490100,86993,83,2009-12-03 16:21:00,13001,United Kingdom
